               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.027006,            0.013604,            0.026135,             0.72847,             0.66747,              0.7485,             0.48915,            0.026165,           0.0051003,            0.018433,            0.007624,            0.007624,            0.007624
                  38,            0.027049,            0.013716,            0.025222,              0.7238,             0.69765,              0.7511,              0.4927,              0.0255,           0.0050944,            0.019526,            0.007558,            0.007558,            0.007558
                  39,            0.026638,            0.013547,            0.025129,              0.6853,             0.70295,             0.73659,             0.48602,            0.025356,             0.00512,            0.018433,            0.007492,            0.007492,            0.007492
                  40,            0.026384,            0.013404,            0.024343,             0.75051,             0.68069,             0.75482,             0.49571,            0.025558,           0.0050489,            0.017972,            0.007426,            0.007426,            0.007426
                  41,            0.026571,            0.013498,            0.023884,             0.74332,             0.67781,             0.75722,             0.48101,            0.026679,           0.0051627,            0.017448,             0.00736,             0.00736,             0.00736
                  42,            0.026825,            0.013488,            0.023801,             0.76887,               0.699,             0.77089,             0.50262,            0.025921,           0.0049977,            0.017084,            0.007294,            0.007294,            0.007294
                  43,            0.026317,            0.013507,            0.023538,             0.77001,             0.68791,             0.75814,              0.4909,            0.025807,           0.0050063,             0.01879,            0.007228,            0.007228,            0.007228
                  44,            0.026315,             0.01339,            0.023651,             0.70786,             0.73254,             0.76823,             0.50072,            0.025626,           0.0050634,            0.018403,            0.007162,            0.007162,            0.007162
                  45,            0.026076,            0.013116,            0.023356,             0.74799,             0.70528,             0.76299,             0.50612,            0.025622,           0.0050562,            0.018357,            0.007096,            0.007096,            0.007096
                  46,            0.026031,             0.01316,            0.022625,             0.73299,             0.72017,             0.77105,             0.50991,            0.026296,           0.0050087,            0.018503,             0.00703,             0.00703,             0.00703
                  47,            0.025943,            0.013123,            0.021647,             0.78105,             0.68936,             0.77186,             0.50736,            0.025734,           0.0050789,            0.017263,            0.006964,            0.006964,            0.006964
                  48,            0.025887,            0.012925,            0.021248,             0.74389,             0.73459,             0.78704,             0.52453,            0.025418,           0.0049185,            0.017738,            0.006898,            0.006898,            0.006898
                  49,            0.026014,            0.012872,            0.021776,             0.77436,             0.72111,             0.77558,             0.52277,            0.025727,           0.0049472,            0.017506,            0.006832,            0.006832,            0.006832
                  50,            0.025819,            0.012916,             0.02171,               0.774,             0.71359,             0.78679,             0.52451,            0.025753,           0.0049691,            0.017366,            0.006766,            0.006766,            0.006766
                  51,            0.025932,            0.012892,            0.021687,             0.78828,             0.69525,             0.78125,              0.5297,            0.024929,           0.0049926,            0.017515,              0.0067,              0.0067,              0.0067
                  52,             0.02544,            0.012978,            0.021367,              0.7944,             0.69728,             0.78171,             0.52129,            0.025707,           0.0050135,              0.0177,            0.006634,            0.006634,            0.006634
                  53,            0.025666,            0.012952,            0.020976,             0.77339,             0.70749,             0.78235,             0.52492,            0.025305,           0.0049735,            0.018202,            0.006568,            0.006568,            0.006568
                  54,            0.025149,            0.012705,            0.020564,             0.78156,             0.73471,             0.78863,             0.52463,            0.025177,           0.0049787,            0.018107,            0.006502,            0.006502,            0.006502
                  55,             0.02538,            0.012852,            0.020822,             0.78951,              0.7401,             0.79644,             0.53352,            0.024637,           0.0049535,            0.016819,            0.006436,            0.006436,            0.006436
                  56,             0.02531,            0.012772,            0.020344,             0.79041,             0.73344,             0.79241,             0.54075,            0.024413,           0.0049035,            0.017021,             0.00637,             0.00637,             0.00637
                  57,            0.025214,            0.012824,            0.020162,              0.7575,             0.73241,             0.78874,             0.53628,            0.024704,           0.0049908,            0.016619,            0.006304,            0.006304,            0.006304
                  58,            0.024912,            0.012816,            0.020183,             0.77201,             0.72967,              0.7893,             0.53459,            0.024873,           0.0049313,            0.016684,            0.006238,            0.006238,            0.006238
                  59,            0.024948,            0.012503,            0.019228,             0.80022,             0.71063,             0.79255,             0.53852,            0.024601,           0.0048932,            0.017402,            0.006172,            0.006172,            0.006172
                  60,            0.024881,            0.012447,             0.01887,             0.81939,             0.70617,             0.79758,             0.54101,            0.024484,            0.004921,            0.017265,            0.006106,            0.006106,            0.006106
                  61,            0.024921,            0.012574,            0.018897,              0.8441,             0.69961,              0.8001,             0.55124,            0.023975,           0.0049161,            0.016552,             0.00604,             0.00604,             0.00604
                  62,            0.024754,            0.012471,            0.018759,             0.81821,             0.72614,             0.79722,             0.55157,            0.024122,           0.0048708,             0.01643,            0.005974,            0.005974,            0.005974
                  63,            0.024773,             0.01237,            0.019381,             0.81433,             0.72782,             0.79395,             0.54641,            0.024553,            0.004869,            0.016733,            0.005908,            0.005908,            0.005908
                  64,            0.024468,             0.01235,             0.01841,             0.78985,             0.73847,             0.79644,              0.5484,            0.024574,           0.0048442,            0.016588,            0.005842,            0.005842,            0.005842
                  65,            0.024549,            0.012348,            0.018405,             0.79323,             0.73597,             0.79487,             0.55149,            0.024408,           0.0048222,            0.017211,            0.005776,            0.005776,            0.005776
                  66,            0.024279,            0.012233,            0.018038,             0.80691,             0.74144,             0.80273,             0.55415,            0.024458,           0.0048165,            0.016826,             0.00571,             0.00571,             0.00571
                  67,            0.023891,            0.012227,            0.017876,             0.79273,             0.75245,             0.80981,             0.55702,            0.024305,           0.0048096,             0.01621,            0.005644,            0.005644,            0.005644
                  68,            0.024124,            0.012307,            0.017913,             0.79672,             0.74403,             0.80671,             0.55587,            0.024076,           0.0048484,            0.016286,            0.005578,            0.005578,            0.005578
                  69,            0.023839,            0.012055,            0.017723,             0.80324,             0.73931,             0.80627,              0.5563,            0.024169,           0.0048629,            0.015741,            0.005512,            0.005512,            0.005512
                  70,            0.023796,            0.012151,            0.016944,             0.79406,             0.75037,             0.80599,             0.55527,            0.024153,           0.0048614,            0.015763,            0.005446,            0.005446,            0.005446
                  71,            0.023532,            0.012075,            0.017336,             0.80425,             0.75637,             0.80883,             0.55802,            0.023916,           0.0048398,            0.015788,             0.00538,             0.00538,             0.00538
                  72,            0.023623,            0.011999,            0.016647,             0.82498,             0.73853,                0.81,             0.56233,            0.023779,           0.0048444,            0.015814,            0.005314,            0.005314,            0.005314
                  73,            0.023745,            0.012105,            0.016787,             0.80273,             0.75673,             0.81211,             0.56455,            0.023739,           0.0048364,             0.01613,            0.005248,            0.005248,            0.005248
                  74,              0.0235,            0.011949,            0.016755,             0.81906,             0.74883,             0.81424,             0.56785,            0.023591,           0.0048139,            0.016054,            0.005182,            0.005182,            0.005182
                  75,            0.023716,            0.012009,            0.017437,             0.80888,             0.75514,             0.81626,              0.5727,            0.023436,           0.0048035,            0.015965,            0.005116,            0.005116,            0.005116
                  76,            0.023295,            0.011833,            0.016208,             0.82435,             0.75028,             0.81782,             0.57695,            0.023434,           0.0047827,            0.016014,             0.00505,             0.00505,             0.00505
                  77,            0.023539,            0.011853,            0.016573,             0.82524,             0.74536,             0.81752,             0.57703,            0.023392,           0.0047814,            0.015958,            0.004984,            0.004984,            0.004984
                  78,             0.02338,            0.011716,            0.015582,             0.82167,             0.73924,             0.81503,             0.57614,             0.02344,           0.0047892,            0.016163,            0.004918,            0.004918,            0.004918
                  79,            0.023213,            0.011762,            0.015537,             0.82269,              0.7381,             0.81433,             0.57449,            0.023526,           0.0047897,            0.016445,            0.004852,            0.004852,            0.004852
                  80,            0.023364,            0.011751,            0.015659,             0.81469,             0.74483,             0.81277,             0.57381,            0.023541,           0.0047928,            0.016773,            0.004786,            0.004786,            0.004786
                  81,            0.022919,            0.011711,            0.015814,             0.81114,             0.75315,             0.81118,             0.57215,            0.023533,           0.0047855,            0.017044,             0.00472,             0.00472,             0.00472
                  82,            0.022951,            0.011528,            0.015155,             0.81402,              0.7523,             0.80979,             0.57151,            0.023472,           0.0047883,            0.017186,            0.004654,            0.004654,            0.004654
                  83,            0.022715,            0.011541,             0.01486,             0.81781,              0.7522,             0.81277,             0.57451,            0.023394,           0.0047708,            0.017328,            0.004588,            0.004588,            0.004588
                  84,            0.022548,            0.011416,            0.014647,             0.81108,             0.76439,              0.8139,             0.57713,            0.023384,           0.0047676,            0.017448,            0.004522,            0.004522,            0.004522
                  85,            0.022672,            0.011569,            0.014618,             0.80862,             0.76504,              0.8156,             0.57938,            0.023263,           0.0047575,            0.017477,            0.004456,            0.004456,            0.004456
                  86,            0.022424,            0.011449,            0.014745,             0.80491,             0.76527,             0.81641,             0.58304,            0.023225,           0.0047629,            0.017453,             0.00439,             0.00439,             0.00439
                  87,            0.022506,            0.011487,            0.014865,             0.81071,             0.76388,             0.81575,             0.58336,            0.023224,           0.0047611,            0.017506,            0.004324,            0.004324,            0.004324
                  88,            0.022468,            0.011613,             0.01459,             0.81193,             0.76237,             0.81781,              0.5849,            0.023158,           0.0047587,            0.017364,            0.004258,            0.004258,            0.004258
                  89,            0.022394,            0.011451,            0.014471,             0.81449,             0.75984,             0.81846,             0.58554,            0.023159,           0.0047618,            0.017212,            0.004192,            0.004192,            0.004192
                  90,            0.022341,            0.011348,            0.014169,              0.8101,             0.75259,             0.81859,             0.58779,            0.023149,           0.0047589,             0.01722,            0.004126,            0.004126,            0.004126
                  91,            0.022274,            0.011329,            0.013851,             0.79029,             0.77184,             0.81957,             0.58829,            0.023157,           0.0047576,            0.017233,             0.00406,             0.00406,             0.00406
                  92,            0.021929,            0.011296,            0.013463,             0.79878,             0.76551,             0.81989,             0.59012,            0.023158,           0.0047523,            0.017306,            0.003994,            0.003994,            0.003994
                  93,            0.021836,            0.011182,            0.013273,             0.81887,             0.74458,             0.82012,             0.59126,            0.023113,            0.004748,             0.01751,            0.003928,            0.003928,            0.003928
                  94,             0.02188,            0.011141,            0.013529,             0.80846,             0.75869,             0.82103,              0.5927,            0.023096,            0.004741,            0.017424,            0.003862,            0.003862,            0.003862
                  95,            0.021835,            0.011083,            0.013467,             0.80805,             0.75183,             0.81943,             0.59303,            0.023105,            0.004744,            0.017214,            0.003796,            0.003796,            0.003796
                  96,            0.021774,            0.011144,            0.013698,             0.80876,             0.75276,             0.82041,             0.59348,            0.023078,           0.0047412,            0.017181,             0.00373,             0.00373,             0.00373
                  97,             0.02154,            0.011087,            0.012602,             0.80796,             0.75945,             0.82098,             0.59426,            0.023085,           0.0047374,            0.017149,            0.003664,            0.003664,            0.003664
                  98,            0.021587,               0.011,            0.013319,             0.80622,             0.76038,              0.8211,             0.59546,            0.023104,           0.0047352,            0.017112,            0.003598,            0.003598,            0.003598
                  99,            0.021527,            0.011164,            0.013052,             0.80848,             0.75532,             0.82158,             0.59486,            0.023119,           0.0047304,            0.017074,            0.003532,            0.003532,            0.003532
                 100,            0.021485,            0.010894,             0.01269,             0.79966,             0.76477,             0.82173,             0.59498,            0.023121,           0.0047327,            0.016993,            0.003466,            0.003466,            0.003466
                 101,            0.021518,            0.010974,            0.012147,             0.80457,             0.76816,             0.82354,             0.59509,            0.023122,           0.0047315,            0.016914,              0.0034,              0.0034,              0.0034
                 102,            0.021192,            0.010806,            0.011827,             0.80852,             0.76651,             0.82403,             0.59653,            0.023109,           0.0047311,            0.016892,            0.003334,            0.003334,            0.003334
                 103,            0.021132,            0.010909,            0.012441,             0.80889,              0.7687,             0.82496,              0.5973,            0.023084,           0.0047296,            0.016908,            0.003268,            0.003268,            0.003268
                 104,            0.020894,            0.010876,            0.012387,             0.80913,              0.7696,             0.82456,             0.59637,            0.023069,           0.0047285,            0.016872,            0.003202,            0.003202,            0.003202
                 105,             0.02078,            0.010683,            0.012061,             0.80836,             0.76799,             0.82522,             0.59661,            0.023045,           0.0047305,            0.016774,            0.003136,            0.003136,            0.003136
